id,difficulty,reasoning_type,question,expected_answer,prediction,ess,citations,is_correct,latency,mrr,recall_hit,prompt_tokens,completion_tokens
5ac021d1554299012d1db5b4,medium,bridge,"Which American actor, artist, and former American football player born in 1968 appeared in the film ""Reach Me?""",Terry Crews,Terry Crews.,1.0,"Toy Story 3, Page 1, Section: General",1,45.96904397010803,1.0,1,4389,1263
5ab8c2465542991b5579effb,medium,bridge,What position does the current holder of the Ligue 1 Young player of the year play?,forward,Winger.,1.0,"List of Ligue 1 players, Page 1, Section: General",0,30.33438801765442,0.3333333333333333,1,2816,1192
5a7c779d55429935c91b51ce,medium,bridge,How many ships does the cruise line that is a client of Moment Factory have?,24,30 ships.,1.0,"Imperial Majesty Cruise Line, Page 1, Section: General",0,24.962787628173828,1.0,1,2826,651
5ae07ee155429945ae959384,hard,bridge,"Who died first, Robert Baldock or Edward II of England?",Robert Baldock,Robert Baldock.,1.0,"Robert Baldock (judge), Page 1, Section: General",1,3.387890100479126,1.0,1,3597,1118
5a7248045542990c210a40ad,hard,bridge,Who wrote the screenplay for the Alfred Hitchcock movie that Eva Marie Saint acted in?,Ernest Lehman,Ernest Lehman.,1.0,"Alfred Hitchcock's Anthology – Volume 5, Page 1, Section: General",1,40.39237308502197,1.0,1,4804,933
5ae731ff5542991e8301cbc0,easy,bridge,"Michael Faraday was an early 19th-century British scientist, he contributed to the study of electromagnetism and electrochemistry, and died on which date?",25 August 1867,25 August 1867.,1.0,"Faraday Prize (disambiguation), Page 1, Section: General",1,16.62662696838379,1.0,1,1933,740
5abdcb525542991f66106043,easy,bridge,"Who directed the 1959 American Western Film starring the actress who starred as Virginia in ""Marty?""",Budd Boetticher,Budd Boetticher.,0.5,"The Oregon Trail (1959 film), Page 1, Section: General",1,40.63271403312683,1.0,1,4441,643
5a7d419b5542995f4f402249,medium,bridge,What research group was formed in 2014 due to Russia's suspension?,The G7 Research Group,G7 Research Group.,0.5,"Football Federation of the Soviet Union, Page 1, Section: General",1,108.95566082000732,1.0,1,10621,1331
5abdaca655429965af743dba,medium,bridge,"Which ITV2 documentary series did the band made up of Lee Brennan, Jimmy Constable and Simon Dawbarn reform for in 2012?","""The Big Reunion""",The Big Reunion.,0.6666666666666666,"Spike Dawbarn, Page 1, Section: General",1,52.882763147354126,0.5,1,5379,887
5ae209b25542997283cd2342,medium,comparison,Were both Strauder v. West Virginia and Lemon v. Kurtzman cases about racism?,no,no,0.5,"Henry W. Sawyer, Page 1, Section: General",1,70.03650403022766,1.0,1,6305,1562
5add77c45542992ae4cec579,medium,bridge,Where are the headquarters for the company which developed the SecureEasySetup technology? ,"Irvine, California",Broadcom.,1.0,"NCR Corporation, Page 1, Section: General",0,90.69514489173889,1.0,1,7152,4152
5a83a7075542990548d0b20e,hard,bridge,The 1985 European Grand Prix was held in which town?,"West Kingsdown in Kent, England",West Kingsdown.,1.0,"1924 Grand Prix season, Page 1, Section: General",0,33.28543424606323,1.0,1,3198,1334
5ac2787355429921a00aaf9a,medium,bridge,What Roger Thomas designed casino was inspired by the Lake Como town of Bellagio in Italy?,Bellagio,Bellagio casino in Las Vegas.,1.0,"Villa del Balbianello, Page 1, Section: General",1,58.1160089969635,1.0,1,5249,1425
5ae5362c5542990ba0bbb229,medium,bridge,When was the American former professional basketball player born who was first overall pick in the 2000 NBA draft by the Nets'? ,"December 30, 1977","December 30, 1977.",1.0,"1978 NBA draft, Page 1, Section: General",1,67.09205412864685,1.0,1,6216,1489
5a75b7305542992d0ec05fea,hard,bridge,Pearle Vision stores in North America are owned by a company based in what European city?,"Milan, Italy","Milan, Italy.",1.0,"Luxottica, Page 1, Section: General",1,171.8870141506195,1.0,1,4355,732
5ab78c6f5542995dae37e955,easy,comparison,Was The Stuff of Legend an American comedy like The Boatniks?,no,No.,0.0,,1,122.68169593811035,1.0,1,10161,4203
5ac43d195542995c82c4ad05,easy,bridge,"Karl Kevin Marginson, is an English football manager and former player, who played in the Football League for Rotherham United, and since 2005, he has been the manager of F.C. United of Manchester, a semi-professional football club based in Moston, Manchester, in which UK country? ",England,England.,1.0,"List of F.C. United of Manchester seasons, Page 1, Section: General",1,45.682541847229004,1.0,1,4105,1355
5a8a0c7b5542992d82986e7b,medium,bridge,The Riegelmann Boardwalk is in what southwestern borough in New York City? ,Brooklyn,Queens.,1.0,"Queens, Page 1, Section: General",0,28.484344005584717,0.25,1,3612,816
5a85cdb65542991dd0999ea4,hard,bridge,"Who did Holly Dunn record ""Daddy's Hands"" for?",MTM Records,MTM Records.,1.0,"Holly Dunn, Page 1, Section: General",1,32.46686911582947,0.5,1,2878,900
5ac054a35542996f0d89cb90,medium,comparison,"Which airport is in Georgia, St. Pete–Clearwater International Airport or Augusta Regional Airport?  ",Augusta Regional Airport,Augusta Regional Airport.,1.0,"Pensacola International Airport, Page 1, Section: General",1,50.623655796051025,1.0,1,4741,760
5abddcff5542991f6610607a,medium,bridge,The Frito Bandito was voiced by an American voice actor who began his 60-plus-year career performing in what?,radio,radio.,0.5,"Eileen Farrell, Page 1, Section: General",1,48.70767593383789,1.0,1,5372,839
5ab7df90554299366779402a,easy,bridge,"Al-Sharki was born and raised in Sana'a, a town in old Sanaa, Sana'a, also spelled Sanaa or Sana, is the largest city in which country, and the centre of Sana'a Governorate?",Yemen,Yemen.,1.0,"Ataq, Page 1, Section: General",1,6.051494836807251,1.0,1,4751,1445
5addfa2d5542995b365fabaa,easy,bridge,"The biographical war film about Lyudmila Pavlichenko, the most successful female sniper in history, credits her with how many kills? ",Credited with 309 kills,309 kills.,1.0,"The Forty-First (1956 film), Page 1, Section: General",0,41.91700005531311,1.0,1,3901,1189
5ab5a9935542992aa134a379,medium,bridge,"When did English rock band New Order record their live album ""Live at Bestival 2012?",September 2012,September 2012.,1.0,"Live at the Belmont, Page 1, Section: General",1,108.89525890350342,1.0,1,3320,973
5ade0d6f5542997545bbbe33,medium,bridge,"Which church did the author of the book, upon whose novel Jerusalem Countdown is based, found?",Cornerstone Church,"Unfortunately, the provided documents do not provide a clear answer to the question.",0.0,,0,3.135721206665039,1.0,1,3629,1108
5ac3fe71554299204fd21ee9,easy,comparison,"Bee's Knees and Smoking Bishop, are a type of cocktail?",no,Bee's Knees.,1.0,"Charles E. Bishop, Page 1, Section: General",0,978.7199711799622,1.0,1,5905,1174
5ab2a06b5542992953946779,medium,bridge,"Glenn Frey, Bernie Leadon, and which other person, who is the founding member of the Eagles, sings in ""Peaceful Easy Feeling?""",Randy Herman Meisner,Randy Meisner.,1.0,"History of the Eagles – Live in Concert, Page 1, Section: General",0,925.6002178192139,1.0,1,6356,1197
5ab5678a554299488d4d9975,easy,bridge,Why is Typhoon dot known by another name in other parts of the world?,"Tropical depressions that enter or form in the Philippine area of responsibility are assigned a name by the Philippine Atmospheric, Geophysical and Astronomical Services Administration or PAGASA","Different naming conventions used by different organizations, such as PAGASA in the Philippines.",1.0,"1985 Pacific typhoon season, Page 1, Section: General",0,937.1013789176941,1.0,1,4841,2598
5ae0c55e55429945ae959449,medium,bridge,The End of Time is a two-part story and the last story for which lead actor?,David Tennant,David Tennant.,0.5,"David Tennant, Page 1, Section: General",1,50.927793979644775,1.0,1,4901,1343
5a78b829554299029c4b5e52,easy,comparison,"What film  evolves around two LGBTQ American athletes, National Bird or Game Face?",Game Face,Game Face.,0.6666666666666666,"List of birds of India, Page 1, Section: General",1,937.2401208877563,1.0,1,6533,1061
5a7cbcf8554299683c1c635d,easy,bridge,"Clinical is a 2017 American horror thriller directed by Alistair Legrand, the film stars Kevin Rahm is an American actor, best known for his television roles as Kyle McCarty on ""Judging Amy"", Lee McDermott on ""Desperate Housewives"", and Ted Chaough on ""Mad Men"", born when? ","January 7, 1971","January 7, 1971.",0.0,,1,4.370021104812622,1.0,1,4441,549
5a842f375542990548d0b25c,hard,bridge,U.S. Route 95 Alternate and Interstate 80 in Nevada both travel through which town?,Fernley,Fernley.,1.0,"Nevada State Route 535, Page 1, Section: General",1,139.16122817993164,0.5,1,3972,1257
5abcfe275542992ac4f38184,hard,bridge,College Point borders the waterway that empties into what river?,East River,East River.,1.0,"Indiana Harbor East Breakwater Light, Page 1, Section: General",1,19.89405393600464,1.0,1,3926,939
5adc39d3554299438c868d7f,easy,comparison,Comparison between Dashboard Confessional and Escanaba Firing Line?,rock band,Dashboard Confessional and Escanaba Firing Line are both rock bands with different subgenres and formation years.,1.0,"Live at Short's 2005, Page 1, Section: General",1,46.960009813308716,1.0,1,7600,1651
5ab5a77e554299637185c5d2,medium,comparison,Does Lucio Silla or Pelléas et Mélisande have more acts?,Pelléas et Mélisande,Pelléas et Mélisande.,1.0,"Jean Périer, Page 1, Section: General",1,27.78172016143799,0.5,1,3514,872
5ae4b3bc5542995dadf243c3,easy,bridge,What philanthropist founded ESL Music?,Eric Michael Hilton,There is no information about a philanthropist founding ESL Music in the context.,0.0,,0,83.38724184036255,1.0,1,5617,3306
5abe52c155429965af743ec3,hard,comparison,Kern Island Canal and Indiana Harbor and Ship Canal are both what? ,canals,canals.,1.0,"Chicago, Indiana and Southern Railroad, Page 1, Section: General",1,43.410056829452515,1.0,1,4923,1778
5a863e805542991e771815d5,medium,comparison,Is Apsarasas Kangri taller than Gangkhar Puensum?,no,No.,1.0,"Liankang Kangri, Page 1, Section: General",1,39.482186794281006,1.0,1,3286,738
5a9082e35542995651fb517c,easy,bridge,What is the name of the race that is known as the test of the champion? ,2016 Belmont Stakes,Belmont Stakes.,1.0,"2016 Belmont Stakes, Page 1, Section: General",0,46.7545952796936,0.25,1,4129,1650
5a72828d5542994cef4bc2f5,medium,comparison,Which of these films was released direct-to-video Eleanor's Secret or Otra Película de Huevos y un Pollo?,Otra Película de Huevos y un Pollo,Otra Película de Huevos y un Pollo.,1.0,"Una Película de Huevos, Page 1, Section: General",1,53.447771072387695,1.0,1,4404,1966
5a80f6de55429938b6142275,hard,comparison,"Which magazine inspired two pioneering conferences, Latina or ROCKRGRL?",ROCKRGRL,ROCKRGRL.,1.0,"H.O.R.D.E., Page 1, Section: General",1,36.48512935638428,1.0,1,3497,1178
5ac013f25542996f0d89cb1b,easy,bridge,"What singer replaced Diana Ross as the lead singer of The Supremes in January of 1970 and provided the lead vocals on the song ""You Gotta Have Love in Your Heart"" by the Supremes and the Four Tops?",Jean Terrell,Jean Terrell.,1.0,"Stoned Love, Page 1, Section: General",1,54.295188903808594,0.3333333333333333,1,5153,1111
5ae11ee65542997b2ef7d0de,easy,bridge,"Pennington is a small village and civil parish in Furness, an area of Cumbria in which country's northwestern region?",England,England.,0.75,"Economy of the British Virgin Islands, Page 1, Section: General",1,46.29544401168823,1.0,1,4864,914
5a733c7d5542994cef4bc4ec,hard,bridge,A5117 road of Cheshire England runs just east of with Ellesmore Port outlet?,Cheshire Oaks Designer Outlet,Cheshire Oaks Designer Outlet.,1.0,"Backford Cross, Page 1, Section: General",1,36.38212513923645,1.0,1,3658,1126
5a8bb2575542996e8ac889e2,hard,comparison,"Who has more occupations, Tom Robinson or Paul Weller?","Thomas Giles ""Tom"" Robinson",They are tied.,0.0,,0,33.63141202926636,1.0,1,3405,1127
5abeda0e5542993fe9a41d55,hard,bridge,What type of wagon inspired the dominant form of transportation on the improved trail through the Great Appalachian Valley from Pennsylvania to North Carolina?,Conestoga wagon,Conestoga wagon.,1.0,"Great Indian Warpath, Page 1, Section: General",1,29.638401985168457,1.0,1,3303,1117
5abea45c5542993f32c2a18b,hard,bridge,what govern the  public institutes that  IIT Council is the governing body for ?,"""Institutes of Technology Act, 1961","Institutes of Technology Act, 1961",1.0,"National Institutes of Technology, Page 1, Section: General",1,56.73776626586914,1.0,1,4519,1587
5ab77a275542995dae37e932,easy,comparison,Are the bands Hole and Cage9 both American alternative rock bands?,yes,"No, but Hole is.",1.0,"911 (English band), Page 1, Section: General",0,45.286694049835205,1.0,1,4831,841
5ac0d647554299294b219029,hard,bridge,Massachusetts's twelfth congressional district was represented by what censured politician?,Gerry Eastman Studds,Gerry Studds.,1.0,"John Y. Brown (politician, born 1835), Page 1, Section: General",0,26.746867179870605,1.0,1,2744,943
5ae5144e55429908b6326514,hard,comparison,Are Malipo County and Laiwu in the same country?,yes,Yes.,1.0,"Hawazma tribe, Page 1, Section: General",1,38.10869312286377,1.0,1,4158,671
5a77106c55429937353601be,medium,comparison,What film is older The Incredible Journey or The Three Musketeers?,The Incredible Journey,The Incredible Journey.,1.0,"The Four Musketeers (1974 film), Page 1, Section: General",1,29.567874670028687,1.0,1,3316,909
5ac2599555429951e9e6856e,medium,comparison,"Who has more scope of proffesion, Hideo Gosha or Dallas M. Fitzgerald?",Dallas M. Fitzgerald,Dallas M. Fitzgerald.,0.5,"Goyokin, Page 1, Section: General",1,32.9888699054718,1.0,1,3279,1004
5a8832a85542997e5c09a5a1,hard,bridge,"Kim Swift, an American video game designer, was described as one of the most recognized women in the industry by an American digital, print, and e-commerce media company focused on who?",millennials,Mental Floss.,1.0,"Astromantic Charm School, Page 1, Section: General",0,75.77472710609436,1.0,1,6447,2585
5a8927b9554299669944a4cf,easy,bridge,"Who is an American author and mother of film and television producer Bryan Spears, who wrote a novel based on Britney's life?",Lynne Irene Spears,Lynne Irene Spears.,1.0,"A Mother's Gift, Page 1, Section: General",1,38.31870198249817,1.0,1,3787,993
5ae07ccd55429945ae959372,medium,comparison,Are Mary Doria Russell and James Joyce both novelists?,yes,"Yes, both Mary Doria Russell and James Joyce are novelists.",1.0,"James Joyce Award, Page 1, Section: General",1,40.557191133499146,1.0,1,3893,1108
5ae145ea5542997b2ef7d19e,easy,bridge,"The ""New York"" class of battleship was a class of ships designed and constructed by the United States Navy, it saw extensive service beginning in the United States occupation of Veracruz, which occurred as a response to the Tampico Affair on which date?","April 9, 1914","April 9, 1914.",0.75,"2012 Vintage Yachting Games, Page 1, Section: General",1,51.4274799823761,1.0,1,5294,1222
5a76aa855542993735360142,easy,bridge,"The Lithuanian Crusade was a series of campaigns by the Teutonic Order, and the Livonian Order, they first conquered which tribe  Baltic tribe that lived in the southcentral part of contemporary Latvia, and northern Lithuania?",Semigallians,The Semigallians.,1.0,"Curonians, Page 1, Section: General",1,64.71226119995117,1.0,1,5979,1516
5ac29c25554299218029dabd,easy,bridge,Who designed the mall where the ballpark Diamond at the Summit is tenatively named for?,designed by Charles N. Agree,Charles N. Agree.,0.0,,0,28.22990584373474,1.0,1,2631,819
5a7bfb225542996dd594b87b,medium,comparison,"Who was born first, Vladimír Remek or Umberto Guidoni?",Vladimír Remek,Vladimír Remek.,1.0,"Ed Smith (defensive end), Page 1, Section: General",1,30.986987829208374,1.0,1,3472,719
5a848d8f5542997b5ce3feb4,easy,bridge,How many Canadians lost their lives in the deadliest conflict in history in absolute terms of total casualties?,"More than 44,000 lost their lives","More than 44,000.",1.0,"Civilian casualty ratio, Page 1, Section: General",0,45.85801315307617,1.0,1,4733,1509
5ae1b3765542997283cd2249,hard,comparison,"Which company is in the discount travel market, The Walt Disney Company or Priceline.com?",Priceline.com,Priceline.com.,0.5,"Walt Disney World Dolphin, Page 1, Section: General",1,44.92296504974365,0.5,1,3831,1247
5a7302db5542994cef4bc41e,medium,comparison,"Which University is a private Ivy League university, University of Delaware or Columbia University?",Columbia University,Columbia University.,1.0,"Wharton School of the University of Pennsylvania, Page 1, Section: General",1,52.10700583457947,1.0,1,5130,1435
5a79226555429970f5fffe59,medium,comparison,"Which band formed earlier, Goldfinger or Enter Shikari?",Goldfinger,Goldfinger.,0.0,,1,3.006131172180176,1.0,1,3918,588
5a762c6e5542994ccc9186fd,medium,comparison,"Who has won more titles, Michael Chang or Ellis Ferreira?",Michael Te-Pei Chang,"We cannot accurately determine who has won more titles, Michael Chang or Ellis Ferreira, due to the lack of information about Ellis Ferreira's additional doubles titles.",0.0,,0,47.51218605041504,1.0,1,4812,1782
5a8752cd5542993e715abeea,hard,comparison,What are both a Russian Spaniel and an Elo?,breed of dog,breeds of dogs,1.0,"Pharaoh Hound, Page 1, Section: General",0,95.64286994934082,1.0,1,7413,3165
5a735a3155429901807dafde,hard,bridge,Which Australian cricketer served as an on-field captain in the Glamorgan County Cricket Club?,"James ""Jim"" Allenby",Jim Allenby.,1.0,"Nigel Costello, Page 1, Section: General",0,65.0306408405304,0.3333333333333333,1,5801,1644
5a7f670055429969796c1a34,easy,bridge,"the head coach of the LSU Tigers football team is Ed Orgeron, who is currently the head coach at what university?",Louisiana State,Louisiana State University (LSU).,1.0,"History of LSU Tigers football, Page 1, Section: General",1,31.559718132019043,0.5,1,4446,671
5ae7681f5542991e8301cc8e,easy,bridge,"What show, whose  cast of celebrities travel to less-habitated, natural places to survive on their own and experience life with local tribes and people, helped make Kim Sung-won a household name?",Law of the Jungle,Law of the Jungle.,0.6666666666666666,"Fergus Sings the Blues, Page 1, Section: General",1,70.91864895820618,1.0,1,5686,1507
5ab6efb35542995eadef00e5,medium,comparison,"Which musician is from Canada, Raine Maida or Kevin Parker?",Raine Maida,Raine Maida.,0.0,,1,30.769497871398926,1.0,1,3740,1217
5a88a6fa5542997e5c09a68d,hard,bridge,Who was the father of the man born Rudolph Valentino Clay?,"Cassius Marcellus Clay, Sr.","Cassius Marcellus Clay, Sr.",1.0,"Valentino (1977 film), Page 1, Section: General",1,46.07555913925171,0.25,1,3132,1508
5a81d98b554299676cceb0fd,medium,comparison,What nationality are Poe and The Contortionist?,American,American.,1.0,"Shapeshifter (The Contortionist album), Page 1, Section: General",1,31.912448167800903,1.0,1,3394,807
5a80c314554299260e20a148,hard,bridge,What type air travel package can be purchased at a discounted price bythird largest global airline alliance? ,round-the-world ticket,A round-the-world ticket.,1.0,"Priceline.com, Page 1, Section: General",1,48.70615577697754,1.0,1,4659,1248
5ade17f055429975fa854e37,easy,bridge,The Brittish ruling class were involved in which movement?,Irish independence,The national struggle against the duke of York.,0.5,"John Clifford, 9th Baron Clifford, Page 1, Section: General",0,60.706066846847534,0.0,0,5001,2036
5ae379ed5542992e3233c41c,hard,bridge,"Country living is a magazine that features  Lifestyle and home content,what Ohio town made their 2012 “50 Things To Do This Summer in 50 States” list ?","Dayton, Ohio","Dayton, Ohio.",1.0,"Daisy Mountain Preserve, Page 1, Section: General",1,27.490681886672974,1.0,1,2857,828
5a7b8f9c554299294a54a9fa,medium,comparison,"Which board game was centered around the construction of a railroad track: Monopoly Junior, or TransAmerica? ",TransAmerica,TransAmerica.,1.0,"Traquero, Page 1, Section: General",1,38.75110912322998,1.0,1,3374,1549
5ac2c0d75542990b17b1547c,hard,bridge,The Black Windmill is a film produced by a man best known for coproducing what? ,Jaws,The Black Windmill is a film produced by a man best known for coproducing a film with David Brown.,0.75,"Richard E. Grant, Page 1, Section: General",0,63.40289783477783,1.0,1,4623,2624
5ac2d70455429921a00ab061,medium,comparison,Are both Tonka and The Happiest Millionaire names of films?,yes,Yes.,1.0,"Fortuosity, Page 1, Section: General",1,46.96192002296448,1.0,1,4440,1306
5a9087fa55429933b8a20539,medium,comparison,Were both Roger Corman and Jonas Mekas Lithuanian?,no,No.,0.5,"Vladimír Remek, Page 1, Section: General",1,36.41567301750183,1.0,1,3894,837
5ade704d5542997c77adee2c,easy,comparison,"Deacon Blue and The National, are bands that have which mutual genre?",rock,rock music.,1.0,"Fatherson, Page 1, Section: General",1,53.71167588233948,1.0,1,4580,1695
5a8cb17a554299240d9c21e0,hard,bridge, Liam Aiken played Klaus Baudelaire in a 2004 film directed by who?,Brad Silberling,Jim Henson,0.6666666666666666,"Fantasia (1940 film), Page 1, Section: General",0,59.25225782394409,1.0,1,5163,1830
5a81b6785542995ce29dcc44,hard,comparison,Is Berea College of the University of Delaware further west?,Berea College,No.,1.0,"University of Delaware, Page 1, Section: General",0,37.308347940444946,1.0,1,3657,882
5abc97d455429959677d6ac3,medium,comparison,Are both Veridia and Digital Summer rock bands ?,yes,Yes.,1.0,"H.O.R.D.E., Page 1, Section: General",1,36.27956795692444,1.0,1,4131,637
5a83cf5d5542996488c2e4e1,medium,comparison,"Which breed of dog is from Scotland, the Pharaoh Hound or the Cairn Terrier?",Cairn Terrier,The Cairn Terrier.,1.0,"Pharaoh Hound, Page 1, Section: General",1,23.52187490463257,1.0,1,3355,876
5abbc9ed55429931dba14531,hard,bridge,"When were the Detroit Music Awards, which feature some of Detroit's most notable musical artists like Bob Seger, initially proposed?",1988,1988,1.0,"World Series of Rock, Page 1, Section: General",1,3.6394917964935303,1.0,1,5245,971
5a78d4ea554299029c4b5eae,easy,comparison,"Bob Geldof and Boy George, have which occupation in common?",singer-songwriter,singer.,1.0,"Upper Street (band), Page 1, Section: General",0,1719.5520000457764,0.25,1,4972,947
5a84b68c5542994c784dda17,hard,comparison,What country does Macross Frontier and Mai Mai Miracle originate from? ,Japan,Japan.,1.0,"Callicarpa shikokiana, Page 1, Section: General",1,3.269382953643799,1.0,1,4733,928
5a7277d75542994cef4bc2b9,hard,comparison,Toy Story 3 and The Apple Dumpling Gang Rides Again are both what kind of movie?,a sequel,Disney movies.,1.0,"Buddy Baker (composer), Page 1, Section: General",0,916.980584859848,1.0,1,4028,1525
5ac4bcbc554299076e296dee,easy,comparison,What do Reptiles and Chic have in common?,magazine,No commonality.,0.0,,0,943.9319641590118,0.25,1,5339,1848
5a7942b2554299029c4b5f3f,easy,comparison,"Natalia Ginzburg and Lytton Strachey, have which occupation in common?",writer,writing.,1.0,"Eminent Victorians, Page 1, Section: General",0,19.83638620376587,1.0,1,4954,1146
5a7a32535542990783324eb5,easy,comparison,"Museum of Illumination and Heating Appliances and Vasat Atik Ali Pasha Mosque,  are located in Istanbul, in which country?",Turkey,Turkey.,1.0,"Atik Ali Pasha Mosque, Page 1, Section: General",1,3.7639081478118896,1.0,1,3163,1105
5adcc9d05542994ed6169c05,hard,comparison,Which is a biger species of plant Scrophularia or Callicarpa?,Scrophularia,We cannot determine which genus has a bigger number of species based on the provided information.,0.5,"Tetracynodon, Page 1, Section: General",0,821.832423210144,0.5,1,3977,1126
5a735dc355429901807db006,hard,comparison,"McDull, Kung Fu Kindergarten and  Pokémon: Arceus and the Jewel of Life where both released on what year?",2009,2009,1.0,"Toy Story 2: Buzz Lightyear to the Rescue, Page 1, Section: General",1,2.859006881713867,1.0,1,4200,879
5a7e895c55429949594199f9,easy,comparison,"What is the third Disney animated feature film, Fantasia or Jungle Cruise?",Fantasia,Fantasia.,1.0,"Toy Story 3, Page 1, Section: General",1,925.4655170440674,1.0,1,5095,817
5a84bcbe5542997b5ce3ff47,hard,comparison,Do tennis players Martina Navratilova and Wesley Moodie share the same nationality?,no,No.,1.0,"Mariaan de Swardt, Page 1, Section: General",1,9.883086919784546,1.0,1,2853,745
5a8b84f15542997f31a41d5e,easy,comparison,Are Ptychosperma and Leontopodium genera?,yes,Yes.,1.0,"Callicarpa, Page 1, Section: General",1,2694.354956150055,1.0,1,4175,1124
5a8745d95542994846c1cd43,easy,comparison,"Scott Derrickson and Umberto Lenzi, have which mutual occupation?",film director,No mutual occupation can be determined.,0.0,,0,920.6057789325714,1.0,1,3046,730
5a8ca8305542996e8ac88b08,easy,comparison,"who is the lead singer of the Belgian band K's Choice, Marcus Cooper or Sarah Bettens ?",Sarah Bettens,Sarah Bettens.,1.0,"Sarah Bettens, Page 1, Section: General",1,3.0843870639801025,1.0,1,3749,956
5a7a0dd05542990783324e18,hard,comparison,"Which band was formed first, Counting Crows or Belle and Sebastian?",Counting Crows,Counting Crows.,1.0,"The Actual Tigers, Page 1, Section: General",1,921.5959851741791,1.0,1,3751,812
5ab971d1554299131ca42338,easy,comparison,"Longyan and Jurong, Jiangsu are both located in which country?",China,People's Republic of China.,1.0,"Jurong Lake, Page 1, Section: General",1,3.4908270835876465,1.0,1,4813,847
5adde1e65542997dc7907086,hard,comparison,Who is more popular among Martin Flavin and William March ?,Martin Archer Flavin,Martin Flavin.,1.0,"William March, Page 1, Section: General",0,484.7974739074707,0.5,1,2830,922
5a87d2185542993e715abfe1,hard,comparison,Are both Brachychiton and Colchicum found on the same continent?,no,Australia.,1.0,"Colchicum, Page 1, Section: General",0,3.073943614959717,0.5,1,3069,946
5a88b9825542993e715ac084,easy,comparison,"KO Magazine and Pro Wrestling Illustrated, are located in which country?",United States,The United States.,1.0,"KO Magazine, Page 1, Section: General",1,28.919009923934937,1.0,1,4595,1064
5ae4a35b5542995ad6573de9,hard,comparison,What type of university are both University of Massachusetts Lowell and New Mexico State University?,research,Public research universities.,1.0,"New Mexico State University Golf Course, Page 1, Section: General",1,78.80532503128052,1.0,1,6131,2497
5ae332305542990afbd1e0d6,hard,comparison,What do Munto and Macross Frontier have in common?,animated television series,Kyoto Animation.,0.5,"Moment Factory, Page 1, Section: General",0,59.60071921348572,1.0,1,5709,1244
5a83c7aa554299123d8c21b5,easy,comparison,"Barclay Tower and The Epic, are located in which city?",New York City,New York City.,1.0,"Bellagio (resort), Page 1, Section: General",1,234.33434200286865,1.0,1,3535,870
5ab733ef5542993667793f88,easy,comparison,What do Constantine Maroulis and Feargal Sharkey have in common? ,singer,Athanasios Demetrios Maroulis.,1.0,"Listen to Your Father, Page 1, Section: General",0,36.7986319065094,0.14285714285714285,1,4066,1798
